,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
70,0,0,0,0,1,1,2,2,0,0,0,0,0,0,2,1,0,74.5,74.5,1
71,0,0,1,1,72,0,0,1,0,1,1,1,1,1,0,1,0,60.0,4264.0,0
72,1,0,0,0,10,1,2,2,1,0,0,0,1,1,2,0,0,98.55,1008.55,1
73,1,0,1,1,13,1,1,2,0,0,1,0,1,1,2,1,2,96.65,1162.85,1
74,0,0,0,0,35,1,1,2,0,0,1,1,1,1,1,1,0,99.25,3532.0,0
75,1,0,1,1,12,0,0,1,0,1,0,1,0,0,2,0,2,35.5,432.25,0
76,1,0,1,0,31,1,2,2,1,1,0,1,0,0,2,1,3,90.55,2929.75,0
77,0,0,1,1,53,1,1,2,0,1,1,1,1,1,2,1,1,108.25,5935.1,0
78,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,1,2,19.5,19.5,0
79,1,0,0,0,30,1,1,0,2,2,2,2,2,2,1,0,2,19.7,625.05,0
80,0,0,0,0,46,1,1,2,0,0,1,0,0,0,2,1,3,74.8,3548.3,0
81,0,0,1,0,19,1,2,2,0,0,1,0,0,1,2,0,2,89.65,1761.05,1
82,0,0,1,0,23,1,1,1,0,0,1,1,0,0,2,0,0,54.25,1221.55,0
83,0,1,0,0,15,1,2,1,0,0,0,1,0,0,2,0,3,55.0,757.1,1
84,1,0,0,0,48,1,1,0,2,2,2,2,2,2,0,0,3,20.15,982.95,0
85,1,0,0,1,25,1,1,2,0,1,0,0,1,1,2,1,0,95.9,2448.75,1
86,1,0,0,0,52,1,1,2,0,1,1,1,1,1,1,1,1,105.0,5426.85,1
87,1,0,0,0,12,1,1,2,1,0,1,0,0,0,2,0,1,81.7,858.6,1
88,0,0,0,0,48,1,2,0,2,2,2,2,2,2,1,0,1,24.55,1203.95,0
89,0,0,0,0,38,1,1,0,2,2,2,2,2,2,0,0,2,20.05,741.5,0
90,0,0,0,0,18,0,0,1,0,0,1,1,0,0,2,1,0,35.2,607.3,0
91,0,0,1,0,45,1,1,1,0,0,1,0,0,0,2,1,3,50.25,2221.55,0
92,1,0,0,0,12,1,2,2,0,0,1,0,1,0,2,1,0,89.55,1021.75,0
93,0,1,0,0,66,1,2,2,1,0,0,0,1,1,0,1,1,102.4,6471.85,0
94,0,0,0,0,72,1,1,0,2,2,2,2,2,2,0,0,3,20.25,1566.9,0
95,0,0,0,0,70,0,0,1,1,1,1,1,0,0,0,1,1,44.6,3058.15,0
96,0,0,1,0,27,1,2,2,0,0,1,0,0,1,2,0,1,90.15,2423.4,0
97,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,0,2,20.0,20.0,0
98,1,1,1,0,13,1,2,2,0,0,0,0,1,1,2,1,0,95.25,1233.65,1
99,0,0,1,1,65,1,2,1,1,1,1,1,1,1,0,1,2,90.45,5957.9,0
100,0,0,1,1,14,1,1,2,0,0,0,0,0,0,2,0,0,70.2,1046.5,0
101,0,0,1,1,17,1,2,2,0,0,0,0,0,1,2,1,0,85.45,1451.6,1
102,0,0,0,0,31,1,1,0,2,2,2,2,2,2,1,0,2,20.95,683.25,0
103,1,0,1,1,24,1,2,0,2,2,2,2,2,2,0,0,2,24.2,609.05,0
104,0,0,0,0,3,1,1,0,2,2,2,2,2,2,2,0,0,20.2,65.95,0
105,1,0,0,0,17,1,1,2,0,0,1,0,0,0,2,1,0,76.65,1313.55,1
106,1,0,0,0,66,1,2,1,1,1,1,1,0,0,0,0,1,68.75,4447.55,0
107,1,0,1,0,45,1,1,1,1,0,1,0,0,0,0,0,3,53.3,2296.25,0
108,1,0,1,0,35,1,2,2,0,0,0,1,1,0,2,1,3,91.5,3236.35,0
109,1,0,0,1,40,0,0,1,1,1,0,1,0,0,1,0,2,40.25,1564.05,0
110,0,0,0,0,10,1,1,2,1,0,0,0,1,0,2,1,2,84.7,832.05,1
111,0,0,1,0,52,1,1,1,1,0,1,0,1,0,1,1,2,64.3,3410.6,0
112,0,0,0,0,13,1,1,0,2,2,2,2,2,2,2,0,3,19.45,232.1,0
113,0,1,0,0,43,1,2,2,0,1,0,0,1,0,2,1,0,90.25,3838.75,0
114,0,0,0,0,41,1,1,0,2,2,2,2,2,2,2,0,0,20.45,775.6,0
115,0,1,0,0,52,0,0,1,0,1,1,1,1,0,2,1,0,50.5,2566.3,0
116,0,0,1,0,71,1,2,1,1,1,1,1,1,1,0,0,3,93.2,6506.15,0
117,1,0,0,0,61,1,2,2,1,0,1,0,1,1,2,1,0,106.45,6300.15,0
118,0,0,0,0,26,0,0,1,0,0,1,1,1,0,2,1,3,44.45,1183.8,0
119,1,0,1,1,72,1,1,1,1,1,0,1,1,0,0,0,1,68.4,4855.35,0
120,0,0,0,0,42,1,2,1,0,0,1,1,1,1,0,1,3,78.45,3373.4,0
121,0,0,1,1,57,1,2,1,1,1,0,1,0,0,2,0,1,65.2,3687.85,0
122,1,0,1,1,9,1,1,0,2,2,2,2,2,2,0,0,2,19.6,197.4,0
123,0,0,0,0,9,1,1,2,0,0,0,0,0,0,2,0,0,71.0,672.55,1
124,1,0,1,0,33,1,1,1,0,0,0,0,0,0,2,1,3,44.55,1462.6,0
125,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,0,2,19.45,19.45,0
126,0,0,0,0,7,1,1,2,0,0,0,0,1,0,2,1,0,79.0,522.95,1
127,1,0,0,0,1,1,1,2,0,0,0,0,0,0,2,1,2,71.55,71.55,1
128,1,0,1,1,65,1,1,0,2,2,2,2,2,2,0,0,2,19.9,1292.6,0
129,1,0,0,0,10,1,2,2,0,0,0,0,1,0,2,1,1,86.05,834.1,1
130,1,0,1,0,70,1,2,2,0,1,1,0,1,0,1,1,1,95.0,6602.9,0
131,0,0,0,0,29,1,2,2,0,0,1,0,1,1,2,1,3,98.6,2933.2,1
132,1,0,1,1,21,1,2,2,0,1,1,0,1,1,2,0,0,104.4,2157.95,1
133,1,0,1,0,1,1,1,2,0,0,0,0,1,1,2,1,0,90.75,90.75,1
134,1,0,0,0,5,1,1,0,2,2,2,2,2,2,2,0,2,20.25,109.8,0
135,1,0,1,0,56,1,1,2,0,0,0,0,1,1,2,0,2,89.7,4952.95,0
136,1,0,0,1,35,1,1,2,0,0,1,0,1,0,1,1,0,85.15,3030.6,1
137,1,0,1,1,10,1,1,0,2,2,2,2,2,2,1,0,2,20.45,242.4,0
138,0,0,0,0,31,0,0,1,1,1,0,1,0,1,0,1,1,49.85,1520.1,0
139,1,1,1,0,37,1,2,2,0,0,0,0,1,0,2,1,0,85.7,3171.15,1
140,1,1,1,0,57,1,2,2,0,1,1,0,0,1,2,1,1,95.25,5427.05,1
141,0,0,1,1,34,1,2,0,2,2,2,2,2,2,1,1,3,25.6,917.15,0
142,0,0,0,0,3,1,1,2,1,0,1,0,1,1,2,1,3,99.0,287.4,1
143,0,0,0,0,4,1,1,2,0,0,1,0,0,1,2,1,3,82.85,319.6,0
144,0,0,0,0,54,1,1,0,2,2,2,2,2,2,0,1,2,20.5,1035.7,0
145,1,0,0,1,6,1,1,0,2,2,2,2,2,2,2,0,2,19.7,111.65,0
146,1,0,1,0,22,1,1,1,1,0,0,0,1,0,1,1,1,59.75,1374.35,0
147,1,0,0,0,23,1,2,2,0,0,1,1,1,0,2,1,3,96.9,2085.45,0
148,0,0,1,0,68,1,2,1,1,0,0,1,0,0,1,0,1,58.25,3975.7,0
149,0,0,1,1,48,1,1,0,2,2,2,2,2,2,0,0,2,20.0,935.9,0
150,1,0,1,1,34,1,1,0,2,2,2,2,2,2,2,0,2,20.8,635.9,0
151,0,0,0,0,41,1,1,1,1,0,1,1,1,1,1,1,1,79.85,3320.75,0
152,1,0,0,0,9,1,2,2,0,0,0,0,0,0,2,1,0,75.85,724.65,0
153,0,1,0,0,18,1,2,2,0,1,0,1,1,1,2,1,3,103.6,1806.35,0
154,1,0,0,0,35,1,2,2,0,0,1,1,1,0,2,0,0,95.5,3418.2,0
155,1,0,1,1,55,1,1,2,0,1,0,1,0,0,2,0,0,79.4,4238.45,0
156,1,0,0,0,54,1,2,2,1,1,0,1,1,1,0,1,3,108.0,5760.65,0
157,0,1,0,0,2,1,2,2,0,0,1,0,0,0,2,1,0,78.55,149.55,1
158,1,0,1,0,52,1,1,2,1,1,1,1,1,1,0,1,0,106.3,5487.0,0
159,1,0,0,0,72,1,2,1,1,1,1,1,0,0,0,0,1,69.65,4908.25,0
160,1,0,1,0,9,1,1,1,0,0,1,0,1,1,2,1,2,70.05,564.4,0
161,0,0,1,1,3,1,1,2,0,0,0,0,0,0,2,1,0,69.55,200.2,0
162,1,1,0,0,4,1,1,2,1,0,0,0,0,0,2,0,0,75.35,273.4,0
163,1,0,1,1,69,1,1,1,1,1,1,1,1,0,0,1,1,75.75,5388.15,0
164,0,0,1,1,67,0,0,1,1,0,0,1,0,0,0,0,3,35.7,2545.7,0
165,1,0,0,0,4,1,1,2,0,0,0,0,0,1,2,1,0,79.9,324.3,1
166,1,0,0,0,13,0,0,1,1,0,0,1,1,0,2,1,3,45.55,597.0,1
167,0,0,1,1,45,1,1,1,1,0,1,1,1,1,0,1,2,81.0,3533.6,0
168,1,0,0,0,68,1,2,2,1,1,1,0,1,0,1,0,1,101.35,7110.75,0
169,0,0,1,1,69,1,2,1,1,1,0,1,1,0,1,0,3,73.7,4885.85,0
170,0,0,0,0,70,0,0,1,1,0,1,1,1,1,0,1,1,58.35,4214.25,0
171,0,0,0,0,1,1,1,0,2,2,2,2,2,2,2,1,2,19.9,19.9,1
172,0,0,1,1,45,1,2,0,2,2,2,2,2,2,1,1,3,25.9,1216.6,0
173,0,0,0,1,37,1,1,0,2,2,2,2,2,2,1,0,1,20.3,755.4,0
174,0,0,0,1,10,0,0,1,1,1,0,1,0,0,1,0,2,40.25,411.45,0
175,0,0,0,1,1,1,1,2,0,0,0,0,1,1,2,1,0,89.35,89.35,0
176,1,0,1,1,29,1,2,1,1,0,0,1,1,0,1,0,1,69.05,1958.45,0
177,1,1,1,1,72,1,1,2,1,0,1,1,1,1,0,1,3,104.1,7447.7,0
178,0,0,0,0,2,1,2,2,0,0,0,0,0,0,2,1,0,75.9,143.35,1
179,1,0,1,0,24,1,1,1,1,0,0,1,0,0,2,0,2,53.6,1315.35,0
180,0,0,0,0,4,1,1,2,0,0,0,0,0,1,2,1,0,79.15,317.25,1
181,1,0,1,0,72,1,1,0,2,2,2,2,2,2,0,0,3,19.3,1304.8,0
182,0,0,0,0,11,1,2,2,1,0,0,0,0,0,2,1,1,79.0,929.3,0
183,0,0,0,1,44,1,1,0,2,2,2,2,2,2,0,0,2,19.9,868.1,0
184,1,0,1,1,62,1,1,0,2,2,2,2,2,2,0,0,1,20.45,1297.35,0
185,1,0,1,1,70,1,2,0,2,2,2,2,2,2,0,0,2,25.4,1782.05,0
186,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,25.05,25.05,1
187,0,0,0,0,4,1,1,2,0,1,1,1,1,1,1,1,0,105.65,443.9,1
188,0,1,0,0,2,1,2,2,0,0,0,0,1,0,2,1,0,85.55,187.45,1
189,0,0,0,0,41,1,2,1,0,1,0,0,0,0,1,1,3,56.3,2364.0,0
190,0,1,0,0,1,1,1,0,2,2,2,2,2,2,2,1,0,19.45,19.45,1
191,1,1,1,0,72,1,2,1,1,1,1,0,1,1,0,1,3,84.1,5981.65,0
192,0,0,1,0,63,1,2,2,0,1,1,1,1,1,0,1,1,109.25,6841.4,0
193,1,0,0,0,68,1,1,2,0,1,1,0,0,0,1,0,3,79.6,5461.45,0
194,0,1,0,0,59,1,2,2,0,0,1,0,1,1,1,1,0,99.5,5890.0,0
195,1,1,0,0,52,0,0,1,1,0,0,0,1,1,2,1,3,48.8,2555.05,0
196,1,1,1,1,26,1,2,2,0,1,1,0,1,1,2,0,0,105.75,2710.25,1
197,1,0,1,0,66,0,0,1,1,1,1,1,1,0,0,1,1,56.6,3789.2,0
198,0,1,1,0,56,1,2,2,1,1,1,1,0,0,1,0,0,95.65,5471.75,0
199,0,0,1,0,72,1,2,1,1,1,1,1,1,0,0,0,3,79.2,5401.9,0
200,1,1,1,0,2,1,1,2,0,0,0,0,0,0,2,0,0,70.1,141.65,0
201,1,0,0,0,68,1,2,2,1,1,1,1,1,1,1,1,3,117.2,8035.95,0
202,1,0,1,1,61,1,1,1,1,1,1,1,1,1,1,0,1,84.9,5264.5,0
203,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,0,2,20.05,20.05,0
204,1,0,0,0,2,1,1,0,2,2,2,2,2,2,2,1,3,19.9,33.7,0
205,0,0,0,0,2,1,1,0,2,2,2,2,2,2,2,0,2,19.5,31.55,1
206,1,1,1,1,68,1,2,2,0,1,1,0,0,0,2,1,0,84.65,5683.6,0
207,1,0,0,0,9,1,1,1,1,0,1,1,0,1,2,1,1,68.25,576.95,0
208,1,0,0,0,13,1,1,2,0,0,1,0,1,0,2,1,0,83.2,1060.6,1
209,0,0,0,0,22,1,1,0,2,2,2,2,2,2,2,1,2,20.05,470.2,0
210,1,0,0,1,66,1,2,0,2,2,2,2,2,2,0,1,3,25.3,1673.8,0
211,1,0,0,1,8,1,1,0,2,2,2,2,2,2,2,0,2,20.35,178.7,0
212,1,0,1,1,2,1,1,2,0,0,0,0,0,0,2,0,2,69.95,143.9,0
213,1,0,1,0,3,1,1,1,0,0,1,1,0,0,2,1,2,55.8,154.55,0
214,1,0,0,0,5,1,2,2,0,0,1,0,1,0,2,1,0,92.5,452.7,1
215,1,0,0,0,13,1,1,0,2,2,2,2,2,2,0,0,3,20.0,268.45,0
216,1,0,1,1,53,1,1,1,0,1,0,1,1,0,2,0,3,65.0,3363.8,0
217,1,0,1,0,3,1,1,0,2,2,2,2,2,2,2,0,1,20.0,49.65,0
218,1,0,0,0,46,1,2,2,0,1,1,0,1,0,1,1,3,94.9,4422.95,0
219,0,0,0,0,39,0,0,1,1,1,0,1,0,0,1,1,1,40.3,1630.4,0
220,0,0,1,1,30,1,2,2,0,1,1,1,1,1,2,1,0,107.5,3242.5,0
221,0,0,0,0,23,1,2,2,0,1,0,0,1,1,2,1,3,98.7,2249.1,0
222,1,0,0,1,40,1,1,0,2,2,2,2,2,2,1,1,1,20.4,854.9,0
223,0,0,0,0,45,1,1,1,1,1,0,1,0,0,1,1,3,62.55,2796.45,0
224,1,0,0,0,53,1,1,0,2,2,2,2,2,2,0,0,1,19.65,978.0,0
225,0,1,1,0,72,1,2,2,1,1,1,0,1,1,0,1,0,112.4,8046.85,0
226,1,0,1,1,28,1,1,0,2,2,2,2,2,2,0,1,3,20.3,487.95,0
227,0,0,0,0,49,1,1,1,1,1,1,1,0,0,0,0,1,67.4,3306.85,0
228,1,0,1,0,1,1,2,2,0,0,0,0,0,0,2,1,1,74.6,74.6,1
229,0,0,1,0,20,1,1,2,0,0,1,1,0,0,2,1,2,81.0,1683.7,0
230,0,0,1,1,53,1,1,1,0,0,1,0,0,1,1,0,3,60.6,3297.0,0
231,1,0,1,0,67,1,1,1,1,1,0,1,0,1,0,1,3,69.2,4671.65,0
232,1,0,0,0,11,1,1,2,0,0,0,1,0,0,2,1,0,73.85,926.25,1
233,0,0,1,1,52,1,1,2,0,1,1,1,0,0,2,0,1,85.8,4433.3,0
234,0,0,0,0,1,1,1,2,0,0,0,0,1,1,2,0,0,90.55,90.55,1
235,0,0,0,0,48,1,1,1,1,1,0,0,0,0,0,0,3,55.5,2627.35,0
236,0,0,0,0,7,1,2,2,0,0,0,0,0,0,2,0,2,75.45,480.75,1
237,1,0,1,1,7,1,1,1,1,0,1,1,0,1,2,1,3,71.35,515.75,0
238,0,0,0,1,12,1,2,2,0,0,0,0,1,0,2,1,0,84.05,966.55,0
239,1,0,0,0,40,1,2,0,2,2,2,2,2,2,0,1,2,24.6,973.95,0
240,1,0,0,0,55,1,2,1,0,0,1,0,1,1,0,1,1,77.8,4323.35,0
241,0,0,0,0,20,1,1,0,2,2,2,2,2,2,1,0,2,19.5,403.15,0
242,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,35.55,35.55,1
243,0,0,1,1,72,1,2,1,1,0,1,1,1,1,0,1,1,84.2,5986.55,0
244,1,0,1,0,63,1,1,2,1,1,1,1,1,1,0,1,3,110.1,6705.7,0
245,0,0,1,0,70,0,0,1,1,1,1,1,1,1,0,0,1,64.55,4504.9,0
246,0,0,0,0,8,1,1,1,0,0,1,1,0,1,2,0,2,64.1,504.05,0
247,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,1,0,45.65,45.65,1
248,1,0,0,0,16,1,1,0,2,2,2,2,2,2,0,0,2,19.75,284.35,0
249,0,0,0,1,11,0,0,1,0,0,0,0,0,0,2,0,0,25.2,321.05,0
250,1,0,0,0,11,1,1,2,0,1,0,0,0,0,2,0,0,74.95,815.5,1
251,0,0,0,1,41,1,2,2,0,1,0,0,1,0,2,1,1,88.5,3645.05,0
252,1,0,0,1,14,1,1,1,1,1,1,1,0,1,0,0,1,76.1,1054.8,0
253,0,0,0,0,61,1,2,1,0,1,1,1,1,1,0,0,3,88.65,5321.25,0
254,0,0,0,0,20,1,1,2,1,0,1,0,1,0,2,1,1,89.4,1871.15,0
255,0,0,0,0,47,1,2,2,0,1,1,0,1,1,2,1,0,106.4,5127.95,1
256,1,0,1,1,2,1,1,1,1,1,0,1,0,0,0,0,2,59.5,130.5,0
257,1,0,1,1,41,1,1,1,1,1,1,0,0,0,1,1,1,60.3,2511.3,0
258,0,0,1,0,72,1,2,0,2,2,2,2,2,2,0,1,1,25.25,1841.2,0
259,0,0,1,1,72,1,2,1,1,1,1,1,1,0,0,0,1,80.2,5714.2,0
260,0,0,0,0,46,1,1,2,1,1,1,0,1,0,1,1,3,95.65,4664.2,0
261,1,0,0,0,1,1,1,0,2,2,2,2,2,2,2,0,2,19.8,19.8,1
262,1,0,0,1,29,0,0,1,1,1,1,1,0,0,2,1,2,45.0,1242.45,0
263,0,0,0,0,37,1,2,2,0,0,1,0,1,1,2,1,0,100.05,3810.55,0
264,1,0,0,0,19,1,1,1,0,0,0,1,1,0,2,1,3,61.55,1093.2,0
265,0,0,1,1,49,1,1,1,0,1,1,0,1,1,1,0,3,78.0,3824.2,0
266,1,0,0,1,13,1,1,1,0,0,0,0,0,0,2,0,2,44.0,659.35,0
267,0,0,0,0,22,1,1,1,1,0,0,0,0,0,2,1,0,49.8,1049.05,0
268,0,1,0,0,53,1,1,2,1,1,0,1,0,1,1,1,2,96.75,5206.55,0
269,1,0,0,0,24,1,1,1,1,0,0,0,0,0,2,1,1,49.55,1210.4,1
270,0,0,0,0,37,1,1,0,2,2,2,2,2,2,0,0,2,19.8,813.3,0
271,1,0,1,1,6,1,1,1,0,1,1,0,0,0,2,1,2,55.3,324.25,1
272,0,0,0,0,7,1,2,2,1,0,0,0,0,0,2,1,2,79.65,604.7,1
273,0,0,1,1,12,1,1,0,2,2,2,2,2,2,1,0,1,19.8,229.6,1
274,0,0,1,0,71,1,2,0,2,2,2,2,2,2,0,0,1,25.0,1753.0,0
275,1,0,1,1,26,1,2,1,0,0,1,1,1,1,1,1,3,82.0,2083.1,0
276,0,0,1,0,6,1,1,1,0,0,0,0,0,0,2,0,2,45.65,323.45,0
277,1,0,0,0,32,1,2,2,1,0,0,1,0,0,2,0,1,87.65,2766.4,0
278,0,0,1,0,47,1,1,1,0,1,0,0,1,0,2,1,1,58.6,2723.4,0
279,0,0,1,1,31,1,1,0,2,2,2,2,2,2,0,0,2,21.0,697.7,0
280,0,0,1,1,52,1,1,2,1,0,1,1,0,0,2,1,1,84.05,4326.8,0
281,0,0,1,0,60,0,0,1,0,1,1,1,1,1,0,0,3,60.8,3603.45,0
282,0,0,1,0,48,1,1,1,0,1,1,0,0,1,1,1,0,65.65,3094.65,0
283,1,0,0,0,45,1,1,0,2,2,2,2,2,2,1,0,1,18.85,867.3,0
284,0,0,0,0,39,1,1,2,0,0,1,1,0,0,0,1,0,80.45,3201.55,1
285,0,1,0,0,1,1,2,2,0,0,0,0,1,0,2,1,0,85.7,85.7,1
286,1,0,0,0,1,1,1,2,0,0,0,0,0,0,2,1,0,69.6,69.6,1
287,0,0,0,0,6,1,2,2,1,0,0,0,0,0,2,1,0,79.05,434.5,1
288,1,0,0,0,9,1,2,2,0,0,0,0,0,0,2,1,0,76.25,684.85,0
289,1,0,1,1,72,1,2,2,1,1,1,1,1,1,0,1,3,114.05,8468.2,0
290,1,1,1,0,71,0,0,1,0,1,1,0,1,1,2,1,1,52.3,3765.05,0
291,1,0,1,1,71,1,1,0,2,2,2,2,2,2,0,1,1,19.6,1387.45,0
292,0,0,1,0,64,1,2,2,1,0,1,0,1,0,0,1,3,94.6,5948.7,0
293,0,0,1,1,28,1,1,0,2,2,2,2,2,2,2,1,1,19.55,543.8,0
